,name,price,brand,country,category
0,#1930 Samsung Galaxy S8 (SM-G950FD) Coral Blue (Лазурный коралл),25250,Samsung,South Korea,смартфон
1,#2209 Samsung Galaxy S9 64Gb Черный бриллиант,31880,Samsung,South Korea,смартфон
2,#2626 Apple iPhone Xr 256GB Yellow,65450,Apple,USA,смартфон
3,#2332 Xiaomi Mi8 6/128GB blue,24650,Xiaomi,China,смартфон
4,#2450 Xiaomi Mi8 6/64GB Blue Global,23990,Xiaomi,China,смартфон
5,#2661 Samsung Galaxy Note 9 128GB Snapdragon Blue (Синий),43980,Samsung,South Korea,смартфон
6,"#2420 Ноутбук Xiaomi Mi Notebook Air 13.3"" 2018 (Intel Core i5 8250U 1600 MHz/13.3""/1920x1080/8GB/256GB SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home) Silver",55790,Xiaomi,China,ноутбук
7,#2666 OnePlus 6 8/128GB Red (красный),27200,OnePlus,China,смартфон
8,#2141 Huawei Mate 10 64Gb Gold,33900,Huawei,China,смартфон
9,#2534 Apple iPhone Xr 64GB Yellow,49550,Apple,USA,смартфон
10,#2107 Samsung Galaxy Note 8 256GB Midnight Black,39650,Samsung,South Korea,смартфон
11,#2224 Samsung Galaxy S9+ 64Gb Титан,36950,Samsung,South Korea,смартфон
12,#2366 Xiaomi Mi Mix 2S 6/128Gb White Global,27100,Xiaomi,China,смартфон
13,#2156 LG G6 64GB platinum,25850,LG,South Korea,смартфон
14,#2096 Samsung Galaxy Note 8 128GB Midnight Black,49390,Samsung,South Korea,смартфон
15,#2676 LG V40 ThinQ 6/128Gb Красный,39540,LG,South Korea,смартфон
16,"#2755 Ноутбук Xiaomi Mi Notebook Air 12.5"" (Intel Core i5 7Y54 1200 MHz/12.5""/1920x1080/4GB/256GB SSD/DVD нет/Intel HD Graphics 615/Wi-Fi/Bluetooth/Windows 10 Home) Silver",43800,Xiaomi,China,ноутбук
17,#2622 Apple iPhone Xr 64GB Coral,49800,Apple,USA,смартфон
18,#2316 OnePlus 6 6/64Gb A6003 Mirror Black (черный глянцевый),33990,OnePlus,China,смартфон
19,#2333 Xiaomi Mi8 6/256GB blue,27600,Xiaomi,China,смартфон
20,#2530 Xiaomi Mi8 Lite 4/64GB Blue,15990,Xiaomi,China,смартфон
21,#2367 Xiaomi Mi8 6/128GB White,24990,Xiaomi,China,смартфон
22,#2480 Apple Watch Series 4 GPS 44mm Silver Aluminum Case with Seashell Sport Loop,29450,Apple,USA,умные часы
23,#2682 Samsung Galaxy S10+ 8/128Gb Перламутр,59930,Samsung,South Korea,смартфон
24,#2246 Huawei P20 128Gb Black,37250,Huawei,China,смартфон
25,#2424 Xiaomi Redmi Note 5 4/64Gb Gold Global,14390,Xiaomi,China,смартфон
26,#2746 Наушники Apple AirPods 2 (без беспроводной зарядки чехла),12510,Apple,USA,Bluetooth-наушники с микрофоном
27,#2647 Huawei Mate 20 6/128GB Blue,37170,Huawei,China,смартфон
28,#2750 Apple Watch Series 4 GPS 44mm Silver Aluminum Case with Pure Platinum/Black Nike Sport Band,29680,Apple,USA,умные часы
29,#2702 Samsung Galaxy Buds Белые,8199,Samsung,South Korea,Bluetooth-наушники с микрофоном
30,#2221 Samsung Galaxy S9+ 128Gb Ультрафиолет,39270,Samsung,South Korea,смартфон
31,"#2628 Ноутбук Xiaomi Mi Notebook Pro 15.6 GTX (Intel Core i5 8250U 1600 MHz/15.6""/1920x1080/8GB/256GB SSD/DVD нет/NVIDIA GeForce GTX 1050/Wi-Fi/Bluetooth/Windows 10 Home)",64330,Xiaomi,China,ноутбук
32,#2728 Xiaomi Mi9 6/128GB Black Global,36600,Xiaomi,China,смартфон
33,#2236 Samsung Galaxy S9+ 128Gb Coral Blue,38740,Samsung,South Korea,смартфон
34,#2567 OnePlus 6T 8/128GB Mirror Black,33770,OnePlus,China,смартфон
35,#2670 Apple iPhone Xr 128GB Dual Sim Red,55990,Apple,USA,смартфон
36,#2322 Xiaomi Mi8 6/64GB Black,20820,Xiaomi,China,смартфон
37,#1932 Samsung Galaxy S8+ 64Gb SM-G955FD Orchid Gray (Мистический аметист),27720,Samsung,South Korea,смартфон
38,#2532 Xiaomi Mi8 Lite 6/128GB Black,17070,Xiaomi,China,смартфон
39,#2635 Apple iPhone Xr 128GB Coral,54300,Apple,USA,смартфон
40,#2245 Samsung Galaxy S9+ 64Gb Ультрафиолет,36790,Samsung,South Korea,смартфон
41,#2475 Apple iPhone Xs Max 512GB Dual SIM Gold,101500,Apple,USA,смартфон
42,#2684 Samsung Galaxy S10 8/128Gb Оникс,51450,Samsung,South Korea,смартфон
43,#2672 Apple iPhone Xr 128GB Dual Sim Coral,55490,Apple,USA,смартфон
44,#2069 Samsung Galaxy Note 8 64Gb Midnight Black,35200,Samsung,South Korea,смартфон
45,#2731 Наушники Huawei FreeBuds 2 Pro Black,8850,Huawei,China,Bluetooth-наушники с микрофоном
46,#2276 Xiaomi Redmi Note 5 3/32Gb Gold,11250,Xiaomi,China,смартфон
47,#2324 GarmiH Forerunner 235 Lava Red,14250,GarmiH,USA,умные часы
48,#2258 Huawei P20 128Gb Blue,27610,Huawei,China,смартфон
49,#2678 Garmih Vivoactive 3 Black,16300,GarmiH,USA,умные часы
50,#2637 Google Pixel 3 64GB Black,45380,Google,USA,смартфон
51,#2726 Xiaomi Mi9 6/64GB Blue,37990,Xiaomi,China,смартфон
52,#2497 Apple iPhone Xr 64GB Black,49880,Apple,USA,смартфон
53,#2641 Смарт часы Samsung Gear Sport Blue,11650,Samsung,South Korea,умные часы
54,#2685 Samsung Galaxy S10 8/128Gb Перламутр,50230,Samsung,South Korea,смартфон
55,"#2369 Ноутбук Xiaomi Mi Notebook Pro 15.6 (Intel Core i5 8250U 1600 MHz/15.6""/1920x1080/8Gb/256Gb SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home)",56450,Xiaomi,China,ноутбук
56,#2681 Samsung Galaxy S10+ 8/128Gb Оникс,56870,Samsung,South Korea,смартфон
57,#2286 OnePlus 6 8/256GB Midnight Black (черный матовый),29390,OnePlus,China,смартфон
58,#2423 Xiaomi Redmi Note 5 4/64Gb Black Global,12490,Xiaomi,China,смартфон
59,#2226 GarmiH Fenix 5X Sapphire Black,36700,GarmiH,USA,умные часы
60,#1927 Samsung Galaxy S8 (SM-G950FD) Orchid Gray (Мистический аметист),25440,Samsung,South Korea,смартфон
61,#2381 Xiaomi Mi8 6/256Gb Gold,27600,Xiaomi,China,смартфон
62,#2158 GarmiH Vivoactive HR black,14990,GarmiH,USA,умные часы
63,#2232 Sony Xperia XZ2 Black,35330,Sony,Japan,смартфон
64,#2190 Google Pixel 2 64Gb Blue,32980,Google,USA,смартфон
65,#2707 Xiaomi Redmi Note 7 4/64Gb Black Global,13250,Xiaomi,China,смартфон
66,#2749 Huawei P30 Pro 8/256Gb Black,62300,Huawei,China,смартфон
67,#2072 Samsung Galaxy Note 8 64Gb Coral Blue,32880,Samsung,South Korea,смартфон
68,#2331 Xiaomi Mi8 6/64GB white,23200,Xiaomi,China,смартфон
69,"#2649 Ноутбук Xiaomi Mi Notebook Air 13.3"" 2018 (Intel Core i3 8130U 2200 MHz/13.3""/1920x1080/8GB/128GB SSD/DVD нет/Intel UHD Graphics 620/Wi-Fi/Bluetooth/Windows 10 Home) Silver",47790,Xiaomi,China,ноутбук
70,#2148 Huawei Mate 10 Pro 6/128GB Dual Sim Brown (L29),38700,Huawei,China,смартфон
71,#2261 LG V30+ Violet Bang&Olufsen,27900,LG,South Korea,смартфон
72,#2536 Apple iPhone Xr 128GB Black,54400,Apple,USA,смартфон
73,#2747 Наушники Apple AirPods 2 (беспроводная зарядка чехла),15170,Apple,USA,Bluetooth-наушники с микрофоном
74,#2729 Xiaomi Mi9 6/128GB Blue,41990,Xiaomi,China,смартфон
75,"#2448 Ноутбук Xiaomi Mi Notebook Air 13.3"" 2018 (Intel Core i5 8250U 1600 MHz/13.3""/1920x1080/8GB/256GB SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home) Gray",55140,Xiaomi,China,ноутбук
76,#2496 Apple iPhone Xr 64GB White,53490,Apple,USA,смартфон
77,#2415 Xiaomi Redmi Note 5 6/64Gb Gold,14350,Xiaomi,China,смартфон
78,#2470 Apple iPhone Xs Max 256GB Dual SIM Black,90900,Apple,USA,смартфон
79,#2469 Apple iPhone Xs 256GB Gold,83900,Apple,USA,смартфон
80,#2730 Xiaomi Mi9 6/128GB Purple,41990,Xiaomi,China,смартфон
81,#1935 Samsung Galaxy S8+ 64Gb SM-G955FD Coral Blue (Лазурный коралл),31990,Samsung,South Korea,смартфон
82,#2460 Samsung Galaxy Watch (46 mm) Silver,16940,Samsung,South Korea,умные часы
83,#2277 Xiaomi Redmi Note 5 3/32Gb Blue,11600,Xiaomi,China,смартфон
84,#2648 Huawei Mate 20 Pro 6/128Gb Black,51490,Huawei,China,смартфон
85,#1926 Samsung Galaxy S8 (SM-G950FD) Midnight Black (Черный бриллиант),25920,Samsung,South Korea,смартфон
86,#2689 Samsung Galaxy S10e 6/128Gb Аквамарин,42760,Samsung,South Korea,смартфон
87,#2565 Samsung Galaxy S9 64Gb Ультрафиолет (Snapdragon 845),37300,Samsung,South Korea,смартфон
88,#2422 Sony Xperia XZ2 Premium Silver,49500,Sony,Japan,смартфон
89,#2259 Samsung Galaxy S9+ 128Gb Титан,42700,Samsung,South Korea,смартфон
90,#2379 GarmiH Fenix 5S Sapphire Rose Gold with White Band,38400,GarmiH,USA,умные часы
91,#2527 Samsung Galaxy S9+ 128Gb Burgundy Red,41490,Samsung,South Korea,смартфон
92,#2113 Google Pixel 2 128Gb Just Black,45700,Google,USA,смартфон
93,#2499 Samsung Galaxy Note 9 512GB Ocean Blue (Синий),59500,Samsung,South Korea,смартфон
94,#2112 Google Pixel 2 64Gb Just Black,33490,Google,USA,смартфон
95,#2490 Apple Watch Series 4 GPS 40mm Silver Aluminum Case with White Sport Band (MU642),27780,Apple,USA,умные часы
96,"#2384 Ноутбук Xiaomi Mi Notebook Air 12.5"" (Intel Core m3 7Y30 1000 MHz/12.5""/1920x1080/4Gb/128Gb SSD/DVD нет/Intel HD Graphics 615/Wi-Fi/Bluetooth/Windows 10 Home) Gold",39490,Xiaomi,China,ноутбук
97,#2326 Фитнес-браслет Xiaomi Mi Band 3 Черный,2190,Xiaomi,China,фитнес-браслет
98,#2619 Samsung Galaxy Note 9 128GB Snapdragon Black (Черный),44090,Samsung,South Korea,смартфон
99,#2421 Samsung Galaxy Note 9 128GB Lavender Purple (Розовый),43860,Samsung,South Korea,смартфон
100,#2464 Apple iPhone Xs 256GB Space Gray,84080,Apple,USA,смартфон
101,#2126 Huawei Mate 10 64Gb Black,32900,Huawei,China,смартфон
102,#2540 Фитнес-браслет Xiaomi Mi Band 2 Черный,1590,Xiaomi,China,фитнес-браслет
103,#2459 Samsung Galaxy Watch (42 mm) Black,15980,Samsung,South Korea,умные часы
104,"#2621 Ноутбук Xiaomi Mi Notebook Air 13.3"" 2018 (Intel Core i7 8550U 1800 MHz/13.3""/1920x1080/8GB/256GB SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home) Silver",61250,Xiaomi,China,ноутбук
105,#2662 Samsung Galaxy S9+ 64Gb Золото,36780,Samsung,South Korea,смартфон
106,#2646 Huawei Mate 20 6/128GB Black,38100,Huawei,China,смартфон
107,#2001 Наушники Beats X Wireless Gray,7200,Beats,USA,Bluetooth-наушники с микрофоном
108,#2627 Apple iPhone Xr 256GB Black,61490,Apple,USA,смартфон
109,#2414 Xiaomi Redmi Note 5 6/64Gb Black,15400,Xiaomi,China,смартфон
110,"#2756 Ноутбук Xiaomi Mi Notebook 15.6 Lite (Intel Core i7 8550U 1800 MHz/15.6""/1920x1080/8GB/1128GB HDD+SSD/DVD нет/NVIDIA GeForce MX110/Wi-Fi/Bluetooth/Windows 10 Home) Black",53590,Xiaomi,China,ноутбук
111,#2500 GarmiH Fenix 5X Plus Sapphire Black,49490,GarmiH,USA,умные часы
112,#2690 Samsung Galaxy S10e 6/128Gb Цитрус,42760,Samsung,South Korea,смартфон
113,#2172 Huawei Mate 10 Pro 6/128GB Dual Sim Blue (L29),43680,Huawei,China,смартфон
114,#2618 Samsung Galaxy Note 9 512Gb Snapdragon Lavender Purple (Розовый),59350,Samsung,South Korea,смартфон
115,#2110 Samsung Galaxy Note 8 128Gb Orchid Gray,42600,Samsung,South Korea,смартфон
116,#2234 Samsung Galaxy S9+ 256Gb Ультрафиолет,59500,Samsung,South Korea,смартфон
117,#2154 LG G6 64GB black,24720,LG,South Korea,смартфон
118,#2711 Samsung Galaxy Watch Active Черный Сатин,13030,Samsung,South Korea,умные часы
119,#2688 Samsung Galaxy S10e 6/128Gb Перламутр,41980,Samsung,South Korea,смартфон
120,#2636 Apple iPhone Xr 128GB Yellow,54450,Apple,USA,смартфон
121,"#2695 Ноутбук Xiaomi Mi Notebook Pro 15.6 GTX (Intel Core i7 8550U 1800 MHz/15.6""/1920x1080/16GB/256GB SSD/DVD нет/NVIDIA GeForce GTX 1050/Wi-Fi/Bluetooth/Windows 10 Home)",82950,Xiaomi,China,ноутбук
122,#2712 Samsung Galaxy Watch Active Серебристый Лёд,13110,Samsung,South Korea,умные часы
123,#2210 Samsung Galaxy S9 64Gb Ультрафиолет,32550,Samsung,South Korea,смартфон
124,#2660 Наушники Xiaomi AirDots Pro,6540,Xiaomi,China,Bluetooth-наушники с микрофоном
125,#2714 Samsung Galaxy Watch Active Морская Глубина,13100,Samsung,South Korea,умные часы
126,#2130 Huawei Mate 10 64Gb Brown,32300,Huawei,China,смартфон
127,#2320 Xiaomi Mi8 6/128GB Black,24330,Xiaomi,China,смартфон
128,#2663 Беспроводные наушники Huawei Honor FlyPods Red,7990,Huawei,China,Bluetooth-наушники с микрофоном
129,"#2447 Ноутбук Xiaomi Mi Notebook Pro 15.6 (Intel Core i7 8550U 1800 MHz/15.6""/1920x1080/8Gb/256Gb SSD/DVD нет/NVIDIA GeForce MX150/Wi-Fi/Bluetooth/Windows 10 Home)",66250,Xiaomi,China,ноутбук
130,#2071 Samsung Galaxy Note 8 64Gb Maple Gold,32250,Samsung,South Korea,смартфон
131,#2283 OnePlus 6 6/64GB Mirror Black (черный глянцевый),31190,OnePlus,China,смартфон
132,#2127 Google Pixel 2 XL 64GB Black,45610,Google,USA,смартфон
133,#2465 Apple iPhone Xs Max 64GB Dual SIM Space Gray,88200,Apple,USA,смартфон
134,#1931 Samsung Galaxy S8+ 64Gb SM-G955FD Midnight Black (Черный бриллиант),29800,Samsung,South Korea,смартфон
135,#2704 Samsung Galaxy Buds Желтые,10990,Samsung,South Korea,Bluetooth-наушники с микрофоном
